"Data generated on Friday, December 23, 2022 at 1:07:23 PM EST"
Area/Partners of Destination,,,,,January - December
And Commodities Exported,,,,,Cumulative To Date Values in Thousands of dollars
,,,,,,,2017,2018,2019,2020,2021,Jan - Oct 2021,Jan - Oct 2022,,
,U.S. Custom Districts,,Partner,,HS Code,Product,Value,Value,Value,Value,Value,Value,Value,Period/Period %  Change (Value),Reporter Code,Partner Code,Product Code,
"1","NOGALES, ARIZ.","1","Mexico","1.2.1.28","0709600010","ORG PEPPERS FR/C","34","278","70","62","127","127","11","-91","26","MX","0709600010",
"1","NOGALES, ARIZ.","1","Mexico","1.2.1.29","0703105000","ONIONS/SHALL,F/C","630","35","780","253","106","106","0","","26","MX","0703105000",
"1","NOGALES, ARIZ.","1","Mexico","1.2.1.30","0709910000","GL ARTICHOKE,F/C","278","345","266","141","86","69","54","-22","26","MX","0709910000",
"1","NOGALES, ARIZ.","1","Mexico","1.2.1.31","0703200000","GARLIC, FR/CH","52","0","157","775","74","46","591","1,183","26","MX","0703200000",
"1","NOGALES, ARIZ.","1","Mexico","1.2.1.32","0705110010","ORG HD LETTUCE","0","0","28","106","65","53","60","11","26","MX","0705110010",
"1","NOGALES, ARIZ.","1","Mexico","1.2.1.33","0702000025","ORG ROMA PLM TOM","64","363","150","74","61","61","25","-59","26","MX","0702000025",
"1","NOGALES, ARIZ.","1","Mexico","1.2.1.34","0708101000","ORG PEAS FC","174","23","0","0","42","42","0","","26","MX","0708101000",
"1","NOGALES, ARIZ.","1","Mexico","1.2.1.35","0706103020","ORG CARROT <11CM","0","4","0","0","35","26","40","53","26","MX","0706103020",
"1","NOGALES, ARIZ.","1","Mexico","1.2.1.36","0709600050","PEPPERS FR/CH","26","16","133","153","30","30","81","166","26","MX","0709600050",
"1","NOGALES, ARIZ.","1","Mexico","1.2.1.37","0702000065","TOMATOES OTHER","26","8","69","49","29","29","59","101","26","MX","0702000065",
"1","NOGALES, ARIZ.","1","Mexico","1.2.1.38","0702000055","ROMA PLUM TOMATO","0","0","0","126","21","21","34","63","26","MX","0702000055",
"1","NOGALES, ARIZ.","1","Mexico","1.2.1.39","0709994500","CORN,SWT,FR/CH","0","0","0","0","21","21","0","","26","MX","0709994500",
"1","NOGALES, ARIZ.","1","Mexico","1.2.1.40","0706909000","BEET FC NESOI","0","0","0","0","7","3","29","1,000","26","MX","0706909000",
"1","NOGALES, ARIZ.","1","Mexico","1.2.1.41","0709591000","TRUFFLES, FR/CH","0","0","0","0","7","7","0","","26","MX","0709591000",
"1","NOGALES, ARIZ.","1","Mexico","1.2.1.42","0705290000","CHCRY,X WTLF,F/C","0","0","108","322","4","0","52","","26","MX","0705290000",
"1","NOGALES, ARIZ.","1","Mexico","1.2.1.43","0709300000","EGGPLANT,FR/CH","0","0","0","0","4","4","0","","26","MX","0709300000",
"1","NOGALES, ARIZ.","1","Mexico","1.2.1.44","0702000045","CHERRY TOMATO","35","0","6","10","0","0","30","","26","MX","0702000045",
"1","NOGALES, ARIZ.","1","Mexico","1.2.1.45","0703105040","SHALLOTS FR/CH","0","0","0","0","0","0","56","","26","MX","0703105040",
"1","NOGALES, ARIZ.","1","Mexico","1.2.1.46","0703900000","LEEKS FR/CH","0","29","0","0","0","0","9","","26","MX","0703900000",
"1","NOGALES, ARIZ.","1","Mexico","1.2.1.47","0705190030","ORG LETTUCE >1KG","0","0","0","16","0","0","0","","26","MX","0705190030",
"1","NOGALES, ARIZ.","1","Mexico","1.2.1.48","0706903100","ORG BEET FC","0","0","0","0","0","0","3","","26","MX","0706903100",
"1","NOGALES, ARIZ.","1","Mexico","1.2.1.49","0707000010","ORG CUCMBERS","82","0","12","0","0","0","0","","26","MX","0707000010",
"1","NOGALES, ARIZ.","1","Mexico","1.2.1.50","0707000050","CUCMBERS,FR/CH","16","0","0","32","0","0","0","","26","MX","0707000050",
"1","NOGALES, ARIZ.","1","Mexico","1.2.1.51","0709202000","ORG ASPARAGUS FC","29","74","32","0","0","0","0","","26","MX","0709202000",
"1","NOGALES, ARIZ.","1","Mexico","1.2.1.52","0709205000","ASPARAGUS FC","0","7","34","0","0","0","0","","26","MX","0709205000",
"1","NOGALES, ARIZ.","1","Mexico","1.2.1.53","0714102000","CASSAVA, FR/DRD","22","0","0","0","0","0","0","","26","MX","0714102000",
"1","NOGALES, ARIZ.","1","Mexico","1.2.2","","Vegtbls,Prep or Pres","23,911","17,440","19,408","26,001","21,490","16,352","24,558","50","26","MX","0760AT",
"1","NOGALES, ARIZ.","1","Mexico","1.2.2.1","2002900060","TOMATO PASTE","18,076","13,995","16,396","22,226","16,718","12,219","20,376","67","26","MX","2002900060",
"1","NOGALES, ARIZ.","1","Mexico","1.2.2.2","2103909090","SAUCES AND PREPS","3,979","2,057","1,408","1,563","1,743","1,442","1,997","38","26","MX","2103909090",
